Bad	Good
occcadional	occasional
OCCLUSSION	occlusion
occsional	occasional
OFARRHYTMIAS	of arrhythmias
Oherwise	otherwise
OIMPROVED	improved
ompatible	compatible
onfiguration	configuration
onger	longer
ONSEET	onset
oomplex	complexes
ORDERE	order
ORDES	orders
OREDR	order
ORONARY	coronary
osssible	possible
OSTEOM	osteomyelitis
OSTEOMYLITIS	osteomyelitis
OSTEOPO	osteoporosis
OVEROSE	overdose
P[AIN	pain
P[LACED	placed
P[OST	post
p_OSSIBLE	possible
PAAIN	pain
PAC S	PACs
paceaker	pacemaker
Paced-QRS	paced QRS
PACEMAKE	pacemaker
PACEMAKETR	pacemaker
PACEMARKER	pacemaker
PACENAKER	pacemaker
PACERMAKER	pacemaker
PACs	PAC
PAC'S	PACs
PAIIN	pain
PAIINN	pain
PAIKN	pain
PAIN'	pain
PAIN`	pain
PAIN-INTIAL	pain-initial
PAINK	pain
PAINN	pain
PAION	pain
PAIPITATIONS	palpiptations
PAIPN	pain
palcement	placement
PALPATAIONS	palpitations
PALPATATION	palpitations
PALPATATIONS	palpitations
PALPATIONS	palpitations
PALPATTIONS	palpitations
PALPIATION	palpitation
PALPIATIONS	palpitations
PALPIITATIONS	palpitations
PALPIPATIONS	palpitations
PALPIT	palpitations
PALPITAION	palpation
PALPITAIONS	palpations
PALPITATI	palpation
PALPITATIO	palpation
PALPITATION'	palpation
PALPITATIONS	palpations
PALPITATIPNS	palpitations
PALPITATONS	palpations
PALPITAYION	palpation
PALPITTION	palpation
PALPITTIONS	palpations
PAN	pain
PANCR	pancreatic
PANIN	pain
PAOIN	pain
PAON	pain
PAPITATIONS	palpitations
PAPTENT	patent
Paroxsmyl	paroxysmal
PAROXYMAL	paroxysmal
PAROYSYSMAL	paroxysmal
particioant	participant
PARTICIPANTIN	participating
PAT	paroxysmal atrial tachycardia
patern	pattern
PATIEN	patient
patiet	patient
PATINET	patient
patrern	pattern
patterm	pattern
patttern	pattern
PAUN	pain
PAZTIENT	patient
PEGTUBE	PEG tube
PERCARDIAL	pericardial
PERFUSSION	perfusion
pericaditis	pericarditis
permature	premature
perriods	periods
PERSISTANT	persistent
Persistrent	persistent
Persitent	persistent
PEUMONIA	pneumonia
PFATIGUE	fatigue
PHISICIAN	physician
PHYICAL	physical
PHYSICL	physical
PHYSISCAL	physical
PIAN	pain
placemant	placement
PLEURTIC	pleuritic
PLEYRAL	pleural
PLPITATION	palpitation
PLPITATIONS	palpitations
PNEMONIA	pneumonia
PNEOMOTHORAX	pneumothorax
PNEU	pneumonia
PNEUMNIA	pneumonia
PNEUMOMNIA	pneumonia
PNEUMOTHRAX	pneumothorax
PNEUMOTHROAX	pneemothorax
PNUEMONIA	pneumonia
PNUMOTHORAX	pneumothorax
POCEDURE	procedure
porolonged	prolonged
poserior	posterior
POSIBLE	possible
POS-OP	postoperative
pos-procedure	post-procedure
Poss9ible	possible
PossbileTracing	possible tracing
possbly	possibly
POSSIBLE-	possible
Possiblle	possible
possiblt	possible
POSSITIVE	positive
POSST	postoperative
POSST-OP	postoperative
POST-0P	postoperative
POSTIVE	positive
Post-Op	postoperative
postpacing	post pacing
potasium	potassium
POTTASSIUM	potassium
PPOST	post
PPROTOCOL	protocol
pr3emature	premature
PRE*OP	preoperative
Pre=Op	preoperative
PRE-0P	preoperative
PREASSURE	pressure
PRE-CATH	precatheterization
precoirdial	precordial
precordials	precordial
precoridal	precordial
pre-excitation	preexcitation
pre-existing	preexisting
PREGANACY	pregnancy
pregnacy	pregnancy
prematrure	premature
prematuren	premature
premaure	premature
premture	premature
PREO	preoperative
PREOB	preoperative
PRE-OIP	preoperative
PRE-OOP	preoperative
preop'	preoperative
PRE-OP	preoperative
PRE-OPERATVE	preoperative
PreOPMalitneoplasm	preoperative malignant neoplasm
PREOPP	preoperative
PREOPT	preoperative
preperative	preoperative
pre-procedure	preprocedure
pre-quemo	pre-chemotherapy
presnce	presence
presnt	present
pressent	present
PRESURG	presurgical
PRE-SYNCOPE	presyncope
PRE-UP	preoperative
PREVIOU	previous
PREVIUOS	previous
prevous	previous
PRILIMINARY	preliminary
Probab e	probable
Probale	probable
Probaly	probable
probble	probable
Problable	probable
PROBLE	problem
PROBLE M	problem
PROBLRM	problem
PRODECURE	procedure
Prodominantly	predominantly
progresion	progression
prologation	prolongation
prololonged	prolonged
PROLONED	prolonged
Prolongeed	prolonged
PROLONGTION	prolongation
PROLOUGATION	prolongation
prom inent	prominent
Pronably	probably
prononced	pronounced
PRO-OP	preoperative
PR-OP	preoperative
Propable	probable
propely	propperly
PROPLONGATION	prolongation
PROTCOL	protocol
protein-calorie	protein calorie
PROTOCAL	protocol
PRTEOP	preoperative
PSIN	pain
PSYCH	psychiatric
PTOTOCOL	protocol
PULMONART	pulmonary artery
PULMUNARY	pulmonary
PULPITATION	palpitation
PVC<s	PVCs
PVC's	PVCs
PVVC	PVC
pwave	P wave
P-wave	p wave
Pwaves	P waves
P-waves	p waves
PYLONEPHRITIS	pyelonephritis
Questonable	questionable
Qwaves	Q waves
RABDOMYLITIS	rhabdomyolysis 
RAD	right axis deviation
RAHAB	rehabilitation
rapind	rapid
rate=	rate
Rate-dependent	rate dependent
rate-related	rate related
RBBBand	RBBB and
reactio	reaction
reasearch	research
REASPONSE	response
reating	resting
RECIEVING	receiving
RECTALBLEED	rectal bleed
RECTALBLEEDING	rectal bleeding
recuest	request
REEARCH	research
REEVAL	reevaluate
RE-EVAL	reevaluate
refersal	reversal
REGURFITATION	regurgitation
REGURG	regurgitation
REGURGE	regurgitation
REGURGIATION	regurgitation
REOVAL	removal
REPEAT-	repeat
repesat	repeat
REPLACEMEN	replacement
replacewd	replaced
Replacment	replacement
replarization	repolarization
repoarization	repolarization
repol	repolarization
REPOLARISATIO	repplarization
repolarisation	repolarization
REPOLARISTIPON	repolarization
repolarizaton	repolarization or
REPOND	respond
REPONSE	response
REPSIRATORY	respiratory
REPSONSE	response
requied	required
RES DESTRESS	respiratory distress
reseach	research
resecarch	research
resech	research
RESECTI	resection
reseeach	research
reseearch	research
resolviing	resovling
RESONSE	response
resovling	resolving
RESP	respiratory
RESP DISTRESS	respiratory distress
RESP FA	respiratory failure
RESP FAILURE	respiratory failure
RESPI	respiratory
respir~	respiration
RESPIRTORY	respiratory
RESPOBNSE	response
RESPOMSE	response
responae	response
RESPONDE	response
RESPONDES	responses
RESPONE	response
RESPONES	responses
RESPONOSE	response
RESPONSE-	response
RESPOPNSE	response
RESPOSE	response
Ressearch	research
RESSIDENT	resident
RESUSITATION	resuscitation
reversal*	reversal
reversal****	reversal
reversed*****	reversed
reversla	reversal
reviiwed	reviewed
REVISISON	revision
RHABDOMYOLITIS	rhabdomyolosis
rhhythm	rhythm
RHTHM	rhythm
RHTHYM	rhythm
rhtyhm	rhythm
rhyhm	rhythm
rhyhtm	rhythm
RHYRHM	rhythm
RHYT	rhythm
rhyth	rhythm
RHYTHEM	rhythm
RHYTHIM	rhythm
Rhythm-	rhythm
rhythmm	rhythm
RHYTHMN	rhythm
rhythn	rhythm
RHYTHYM	rhythm
rhytm	rhythm
rhytms	rhythms
rhytthm	rhythm
RHYTYM	rhythm
RHYTYMM	rhythm
RIAGE	triage
ribon	ribbon
RIGHT-SIDED	right_sided
rigth	right
rirst	first
RITHM	rhythm
riule	rule
rolonged	prolonged
rotation-	rotation
rotuine	routine
ROUGINE	routine
rouine	routine
ROUITNE	routine
ROUTINE-	routine
routine-best	routine best
ROUTINE-FLOOR	routine floor
ROUTINE-POST	routine post
ROUTNE	routine
RQUESTED	requested
rquired	required
RRIAGE	triage
R-RPROGRESSION	R wave progression
RSPONSE	response
RTHYM	rhythm
RTIAGE	triage
RTRIUAGE	triage
ruleout	rule out
rule-out	rule out
RUTINE	routine
RVOT	right ventricular outflow tract
R-wave	R waves
R-waveprogression	R wave progresion
ryhthm	rhythm
RYHTHYM	rhythm
RYMTHM	rhythm
RYTHEM	rhythm
RYTHIM	rhythm
rythm	rhythm
RYTHMN	rhythm
RYTHYM	rhythm
RYTHYMM	rhythm
SACHYCARDIA	tachycardia
SCHEMIA	ischemia
SCHEMIC	ischemic
screenibg	screening
SCREENIG	screening
screnning	screening
SECOND'	second
secondar	secondary
SEEDN	seen
SEGEMENT	segment
SEGIMENT	segment
SEGMAENT	segment
SEISURE	seizure
SEISURES	seizures
SEIZUREES	seizures
SEMNSED	sensed
sennsed	sensed
sensed-	sensed
sensing-ventricular	sensing ventrcular
SEOTAL	septal
SEOZURE	seizure
SEPSDIS	sepsis
SETMI	STEMI
seuqence	sequence
SEVEREPAIN	severe pain
SEVERFE	severe
SEZIURES	seizures
SEZURES	seizures
sgnificant	significant
sholder	shoulder
SHORNESS	shortness
SHORTHNESS	shortness
SHORTNESSOF	shortness of
SHORTNESSS	shortness
SICKEL	sickle
SICKELL	sickle
Sickle-cell	sickle cell
SIEZURE	seizure
SIEZURES	seizures
signifcant	significant
signifciant	significant
SIICIDAL	suicidal
simulii	stimuli
sincope	syncope
singl	single
sinis	sinus
SINISITIS	sinusitis
sino-atrial	sinoatrial
sinu	sinus
Sinud	sinus
SINUSTACHYCARDIA	sinus tachycardia
SIZZINESS	dizziness
SLIGHLY	slightly
sloweer	slower
SLOWERAND	slower and
SLURRD	slurred
SNCOPE	syncope
sninus	sinus
SNYCOPE	syncope
SOB	shortness of breath
SOBBlood	SOB blood
SOBCHEST	SOB chest
SOBWEAKNESS	SOB weakness
SOECIFIC	specific
Soinus	sinus
SOLTALOL	sotolol
SOLUMEDEROL	solumedrol
SORTNESS	shortness
specifc	specific
specifoic	specific
spesific	specific
SPETIC	septic
SPHINOIDAL	sphenoidal
spondyloartritis	spondyloarthritis
sprecific	specific
STAAT	STAT
STACH	sinus tachycardia
stat-	STAT
STAT-ABDOMINAL	STAT abdominal
stat-best	STAT best
stat-ER	STAT ER
STAT-NUMBNESS	STAT numbness
STAT-PALPITATIONS	STAT palpitations
STAT-POST	STAT post
STAT-RAPID	STAT rapic
STAT-STATUS	STAT status
stat-stroke	STAT stroke
STAT-SYNCOPE	STAT syncope
STAT-TIA	STAT TIA
STAT-UTI	STAT UTI
STchanges	ST changes
ST-changes	ST changes
STEM1	STEMI
STEMCELL	stem cell
STEMOSIS	stenosis
STENOIS	stenosis
STESS	stress
stgudy	study
stimulii	stimuli
stncronous	synchronous
Streoke	stroke
STRKE	stroke
strok	stroke
STROLE	stroke
STRROKE	stroke
ST-Twave	ST-T wave
stuady	study
studcy	study
STUDEN	student
SUGERY	surgery
suggwested	suggested
SUICDAL	suicidal
SUNCOPE	syncope
SUPERVENTRICULAR	supraventricular
supraventicular	supraventricular
SURERY	surgery
SURGREY	surgery
SVERE	severe
SWEELLING	swelling
swith	with
SYCNOPE	syncope
SYCOPE	syncope
SYNCAPY	syncope
synch	synchronized
SYNCO	sycope
SYNCO[AL	syncope
SYNCOP	syncope
SYNCOPY	syncope
SYNCPOE	syncope
syncronous	synchronous
syncrope	syncope
synncope	syncope
SYNOPE	syncope
SYPTOMATIC	symptomatic
TAACHYCARDIA	tachycardia
TACCHY	tachycardia
TACCHYCARDIA	tachycardia
tacgycardia	tachycardia
tachacrdia	tachycardia
tachcardia	tachycardia
TACHICARDIA	tachycardia
TACHICARDIO	tachycardia
TACHUYCARDIA	tachycardia
tachy	tachycardia
tachyacrdia	tachycardia
TACHYARDIA	tachycardia
TACHYARRYTHMIA	tachyarrhythmia
TACHYCA	tachycardia
tachycadia	tachycardia
TACHYCADIAC	tachycardia
tachycaedia	tachycardia
TACHYCARD	tachycardia
tachycardfia	tachycardia
tachycardi	tachycardia
tachycardiac	tachycardic
TACHYCARDIDIA	tachycardia
TACHYCARDIO	tachycardia
TACHYCARDOA	tachycardia
tachycardya	tachycardia
TACHYCARIDIA	tachycardia
tachycaycardia	tachycardia
TACHYCCARDIA	tachycardia
TACHYCHARDIA	tachycardia
tachycradi	tachycardia
tachycrdia	tachycardia
TACHYCRDIC	tachycardia
TACHYDCARDIA	tachycardia
TACHYSOB	tachycarida SOB
TACICARDIA	tachycardia
TACKYCARDIA	tachycardia
tacycardia	tachycardia
tadchycardia	tachycardia
tansplant	transplant
TAQUICARDIA	tachycardia
taxhyxardia	tachycardia
tchycardia	tachycardia
techical	technical
TEIAGE	triage
TEMPORAY	temporary
TERIAGE	triage
TGRIAGE	triage
THACHY	tachycardia
THACY	tachycardia
THERAPUTIC	therapeutic
THIGHTNESS	tightness
thigtness	tightness
THORACOTOTOMY	thoracotomy
THRUSDAY	Thursday
thythm	rhythm
TIAGE	triage
tifocal	trifocal
TIGHNESS	tightness
TIGHTESS	tightness
TIRAGE	triage
TITCHING	twitching
toxic-appearing	toxic appearing
TR5IAGE	triage
TRACHARRHYTHMIA	tachyarrhythmia
TRAGE	triage
TRAIBGE	triage
TRAIGA	triage
trannspla	transplant
tranp	transplant
tranplant	transplant
TRANSEOSOPHAGEAL	transesophageal
Transfered	transferred
transp	transplant
transpl	transplant
transpla	transplant
transplaan	transplant
transplan	transplant
transplann	transplant
Transplat	transplant
TRANS-THORACIC	transthoracic
TREIAGE	triage
trgeminy	trigeminy
TRIAAGE	triage
TRIABE	triage
TRIAE	triage
TRIAEG	triage
TRIAEGH	triage
TRIAFGE	triage
TRIAG	triage
TRIAGBE	triage
TRIAGE'	triage
TRIAGEE	triage
TRIAGER	triage
TRIAGEW	triage
TRIAGFE	triage
TRIAGHE	triage
TRIAGR	triage
TRIAGS	triage
TRIAGTE	triage
TRIAHE	triage
TRIAHGE	triage
TRIAQGE	triage
TRIATGE	triage
TRIEAGE	triage
TRIGAE	triage
TRIGE	triage
trigemny	trigeminy
TRIIAGE	triage
trimest~	trimester
TRIOAGE	triage
TRIPONIN	troponin
TRIUAGE	triage
TROAGE	triage
TROAHE	triage
TROIAGE	triage
TROPININ	troponin
TROPININS	troponins
TROPINON	troponin
TRPILET	triplet
TRRIAGE	triage
TRSAIAGE	triage
TRTIAGE	triage
TRTUAGE	triage
TRUIAGE	triage
tryal	trial
ttachycardia	tachycardia
TTRAIGE	triage
TTRIAGE	triage
T-wav	T-wave
Twave	T wave
T-wave	T wave
Twaves	T waves
t-waves	T waves
udertlying	underlying
UICIDAL	suicidal
UINTERAL	unilateral
unbdetermined	undetermined
uncjanged	unchanged
UNCONSIOUS	unconscious
UNCONTROLED	uncontrolled
UNCONTROLEED	uncontrolled
uncreased	increased
undersening	undersensing
undtermined	undetermined
unerlying	underlying
unreconized	unrecognized
unspec~	unspecified
unussual	unusual
uppe~	upper
upstoke	upstroke
URESPONSIVE	unresponsive
U-wave	U wave
U-waves	U waves
V TACH	ventricualr tachycardia
V TACHY	ventricualr tachycardia
VAG BLEED	vaginal bleeding
vaible	viable
VALUVOPLASTY	valvuloplasty
VALVUOPLASTY	valvuloplasty
VALVUPLASTY	valvuloplasty
varian	variant
varriant	variant
VAS ACCESS	vascular access
VASC ACCESS	vascular access
VAVULOPLASTY	valvuloplasty
VCHANGE	change
VCHANGES	changes
vengricular	ventricular
VENT TACHYCARDIA	ventricular tachycardia
VENTICULAR	ventricular
ventircular	ventricular
ventrcular	ventricular
VENTRICAR	ventricular
ventriccular	ventricular
ventricualr	ventricular
ventricuclar	ventricular
ventricula	ventricular
Ventricular-paced	ventricular paced
ventricular-pacing	ventricular pacing
ventriculat	ventricuclar
ventriculatr	ventricular
ventriculkar	ventricular
ventriculr	ventricuclar
ventriuclar	ventricular
VENT-TACH	ventricular tachycardia
versusu	versus
Vertiocal	vertical
Vertocal	vertical
V-FIB	ventricular fibrillation
VOMITTING	vomiting
VOMOTING	vomiting
Vpaced	v paced
V-pacing	ventricular  pacing
VPC's	ventricular premature contractions
VT	ventricular tachycardia
V-TACH	ventricular tachycardia
V-TACHS	ventricular tachycardia
V-TACHY	ventricular tachycardia
V-TACK	ventricular tachycardia
VTECH	ventricular tachycardia
V-TECH	ventricular tachycardia
wabve	wave
wafve	wave
WAKNESS	weakness
WEAAK	weak
WEAAKNESSS	weakness
WEAKENESS	weakness
WEAKENSS	weakness
WEAKESS	weakness
WEAKNERSS	weakness
WEAKNES	weakness
WEAKNESD	weakness
WEAKNESSS	weakness
WEAKNNESS	weakness
WEAKNSS	weakness
WEKANESS	weakness
WEKNESS	weakness
Wenckebabh	Wenckebach
Wenckeback	Wenckebach
Wenckehach	Wenckebach
Wenkebach	Wenckebach
WERKNESS	weakness
whcih	which
Wilson's	Wilson''s
withfrequent	with frequent
withh	with
withmarked	with marked
WITHN	within
withnon-cpturing	with noncapturing
without~	without
WITHOUTH	without
wiyh	with
wiyth	with
WOUNF	wound
WPW	Wolff-Parkinson-White
yachycardia	tachycardia
YPOGLYEMIA	hypoglycemia
ZEISURE	seizure
?	Questionable 
aage	age
abbarrently	aberrantly
abberancy	aberrancy
abberant	aberrant
abberency	aberrancy
abberent	aberrant
abbererency	aberrancy
abberrancy	aberrancy
abbrently	aberrantly
aberracy	aberrancy
aberramtly	aberrantly
aberrange	aberrance
aberrantl	aberrantly
aberrany	aberrant
aberrency	aberrancy
aberrent	aberrant
aberrently	aberrantly
aberrnat	aberrant
aberrrant	aberrant
aberrrantly	aberrantly
abesent	absent
abherently	aberrantly
abnl	abnormal
abnm	abnormal
abnom	abnormal
abnomalities	abnormalities
abnomality	abnormality
abnomral	abnormal
abnomralities	abnormalities
abnomrality	abnormality
abnoralities	abnormalities
abnoramltiy	abnormality
abnormailties	abnormalities
abnormailty	abnormality
abnormaities	abnormalities
abnormaity	abnormality
abnormalies	abnormalities
abnormaliies	abnormalities
abnormaliites	abnormalities
abnormaliities	abnormalities
abnormalilty	abnormality
abnormalit	abnormality
abnormaliteis	abnormalities
abnormalitiess	abnormalities
abnormalitiessince	abnormalities since
abnormalitiles	abnormalities
abnormalitis	abnormalities
abnormalitites	abnormalities
abnormalitlies	abnormalities
abnormalitry	abnormality
abnormallities	abnormalities
abnormallity	abnormality
abnormalq	abnormal Q
abnormalties	abnormalities
abnormaltiies	abnormalities
abnormaltity	abnormality
abnormaml	abnormal
abnormility	abnormality
abnormjality	abnormality
abnormla	abnormal
abnormlaities	abnormalities
abnormlaity	abnormality
abnormlalities	abnormalities
abnormlities	abnormalities
abnormlity	abnormality
abnornalities	abnormalities
abnornmality	abnormality
abnotmalities	abnormalities
abnovmality	abnormality
abnr	abnormal
abnrm	abnormal
abnrmalities	abnormalities
abnromal	abnormal
abnromalities	abnormalities
abnromality	abnormality
abonrmality	abnormality
aborderline	a borderline
abormal	abnormal
abormalities	abnormalities
abormality	abnormality
abrnormalities	abnormalities
abrnormality	abnormality
absen	absent
absentsince	absence since
accelarated	accelerated
acceleartion	acceleration
acceleratied	accelerated
accellerated	accelerated
accelorated	accelerated
accelration	acceleration
accentruated	accentuated
accesory	accessory
acclerated	accelerated
accuate	accurate
acelerated	accelerated
acriss	across
afiband	atrial fibrillation and
aftifact	artefact
agnormality	abnormality
aifb	atrial fibrillation
aitral	atrial
alomng	along
altrial	atrial
amplitde	amplitude
anaylsis	analysis
andinferiorleads	and inferior leads
anerior	anterior
anormality	abnormality
anoteroseptal	anteroseptal
ansd	and
anteior	anterior
anteiror	anterior
antelateral	anterolateral
antereior	anterior
anteriorand	anterior and
anteriorfascicular	anterior fascicular
anteriorhemiblock	anterior hemiblock
anteriorl	anterolateral
anteriorlat	anterolateral
anterioseptal	anteroseptal
anteriot	anterior
anterir	anterior
anteriro	anterior
anterlateral	anterolateral
anteroaical	anteroapical
anteroalateral	anterolateral
anteroateral	anterolateral
anterolat	anterolateral
anterolateal	anterolateral
anterolateralinjury	anterolateral injury
anterolaterl	anterolateral
anterolaterral	anterolateral
anteroplateral	anterolateral
anteropseptal	anteroseptal
anteror	anterior
anterorior	anterior
anterosaptal	anteroseptal
anteroseptalmi	anteroseptal MI
anteroseptum	anteroseptal
anterosetal	anteroseptal
anterosetpal	anteroseptal
anterospeptal	anteroseptal
antieror	anterior
antior	anterior
antlat	anterolateral
antrior	anterior
aooears	appears
apacing	atrial pacing
apced	atrial paced
apeared	appeared
apears	appears
apeeard	appears
apmplitude	amplitude
appearsto	appears to
appeas	appears
appeasr	appears
apperas	appears
appparent	apparent
appraent	apparent
apprears	appears
appreas	appears
approriate	appropriate
arenew	are new
arftifact	artefact
aritfact	artefact
aritifact	artefact
arrhyhtmia	arrhythmia
arrhythia	arrhythmia
arrhythma	arrhythmia
arrtifact	artefact
arrytthmia	arrhythmia
artfact	artefact
artfiact	artefact
artiact	artefact
artifacct	artefact
artifacg	artefact
artifacgt	artefact
artifacty	artefact
artifarct	artefact
artifcact	artefact
artifcat	artefact
artifiact	artefact
arytmia	arrhythmia
ASMI	anteroseptal MI
asnteroseptal	anteroseptal
asociated	associated
assoicated	associated
atach	atrial tachycardia
atachrvr	atrial tachycardia rapid verntricular rate
aterior	anterior
aterolaterally	anterolaterally
ateroseptal	anteroseptal
atgrial	atrial
atifact	artefact
atirla	atrial
atnerior	anterior
atri	atrial
atriala	atrial
atrialfibrillation	atrial fibrillation
atriall	atrial
atrialllllpacing	atrial pacing
atrialtach	atrial tachycardia
atrifact	artefact
atriial	atrial
atrrial	atrial
attemps	attempt
atyicao	atypical
atyipical	atypical
atypcal	atypical
avblock	c
axiis	axis
axisnormal	axis normal
axix	axis
axsi	axis
baeline	baseline
barnch	branch
basaeline	baseline
baseine	baseline
baselinartifact	basal infarct
baselinewander	baseline wander
baselline	baseline
basleline	baseline
begiminy	bigeminy
bentricular	ventricular
besy	best
biatral	biatrial
bifasicular	bifascicular
bigemany	bigeminy
bigemini	bigemina
bigemminy	bigeminy
bigimenal	bigeminal
bigmeny	bigeminy
bigminy	bigeminy
biphasix	biphasic
bisicular	bifascicular
biventicular	biventricular
biventircular	biventricular
biventriculaer	biventricular
bivertricular	biventricular
bivetricular	biventricular
bloci	block
blockand	blocked
blocke	block
blockl	block
blocl	block
bnormalities	abnormalities
boerderline	borderline
bordeerline	borderline
bordereline	borderline
borderilne	borderline
borderine	borderline
borderlie	borderline
borderlien	borderline
borderliine	borderline
borderlinel	borderline
borderlinelateral	borderline lateral
borderlinerepolarization	borderlinere polarization
borderlinest	borerline ST
borderling	borderline
borderlinne	borderline
borderlins	borderline
borderlint	borderline
borderlline	borderline
borederline	borderline
bracnh	branch
bracycardia	bradycardia
bradycadia	bradycardia
bradycarddia	bradycardia
bradycardiavs	bradycardia versus
branh	branch
brderline	borderline
bunmdle	bundle
cahange	change
cahnge	change
canot	cannot
capre	captured
caprtured	captured
ccnsistent	consistent
ccompared	compared
chaange	change
chages	changes
chamer	chamber
chanegs	changes
chanes	changes
changeds	changed
changesare	changes are
changess	changes
changessince	changes since
chanmber	chamber
chaotoc	chaotic
chmnages	changes
chnaged	changed
citeria	criteria
clinicalcorrelation	clinical correlation
cmopared	compared
cmpared	compared
cnnot	cannot
cnsider	consider
coinsider	consider
comapred	compared
comduction	conduction
comlex	complex
commpared	compared
compaed	compared
compaerd	compared
compaex	complex
compard	compared
compatable	compatible
compated	compared
compered	compared
competetive	competitive
compex	complex
comple	complex
compleses	complexes
complexe	complexes
complexees	complexes
complexers	complexes
complext	complex
compltexes	complexes
compolete	complete
componed	composed
componenet	component
componet	component
componets	components
compraed	compared
comprared	compared
compred	compared
compsared	compared
compsred	compared
concering	concerning
concernign	concerning
concomitnat	concomitant
condiser	consider
condsier	consider
conduciton	conduction
conductes	conducted
conductio	conduction
conductionn	conduction
condution	conduction
conisder	consider
conisider	consider
conisitent	consistent
conistent	consistent
connduction	conduction
conplexes	complexes
consder	consider
consduction	conduction
consecutuve	consecutive
consideer	consider
considrably	considerably
consieder	consider
consipicuous	conspicuous
consisent	consistent
consisteent	consistent
consisten	consistent
consistern	consistent
consitent	consistent
consitently	consistently
consuction	conduction
contracitons	contractions
contractiosn	contractions
conucted	conducted
convertred	converted
coonsider	consider
copared	compared
coplex	complex
coplexes	complexes
copnsider	consider
correcgted	corrected
correlationand	correlation and
cosnider	consider
cosnsitent	consistent
covincing	convincing
cpnsider	consider
creteria	criteria
crieria	criteria
crietria	criteria
critereia	criteria
critieria	criteria
critria	criteria
crtieria	criteria
cungruent	congruent
curent	current
dccv	DC cardioversion
dealy	delay
dealyed	delayed
deayed	delayed
deccreased	decreased
decreaed	decreed
decreaesd	decreased
decreasd	decrease
decreasedince	decreased since
decreaseed	decreased
decresaed	decreased
decresed	decreased
deecreased	decreased
defibulator	defibrillator
deleayed	delayed
deminished	diminished
demostrating	demonstrating
depreesion	depression
depresseion	depression
deression	depression
derrangement	derangement
devation	deviation
deveation	deviation
deviaion	deviation
deviaition	deviation
deviaiton	deviation
deviatin	deviation
deviatinon	deviation
deviationn	deviation
devistion	deviation
devitaion	deviation
devition	devotion
dextrocadia	dextrocardia
dgree	degree
dialtion	dilation
diesase	disease
difffuse	diffuse
diffise	diffuse
diffisely	diffusely
diffiuse	diffuse
diffue	diffuse
diffues	diffuse
diffus	diffuse
diffusel	diffuse
diffuseleads	diffuse leads
diffusest	diffuse ST
diffuset	diffuse T
diffusse	diffuse
difuse	diffuse
diminuative	diminutive
dissociates	dissociated
dlateral	lateral
dnlargement	enlargement
downard	downward
dperessions	depressions
dpression	depression
driteria	criteria
duation	duration
duffuse	diffuse
dynaic	dynamic
eaely	early
ealds	leads
ealy	early
earlly	early
earlybrepolarization	early repolarization
eary	early
eatach	ectopic atrial tachycardia
ebsteins	Ebstein''s
ebtter	better
eclude	exclude
ecopty	ectopy
ecopy	ectopy
ecto0y	ectopy
ectop	ectopy
ectopica	ectopic
ectopicatrial	ectopic atrial
ectopinc	ectopic
ectopipc	ectopic
ectopoy	ectopy
ectopty	ectopy
ectopyh	ectopy
ectoy	ectopy
ectpy	ectopy
ectremity	extremity
ectropy	ectopy
ecxg	ecg
eince	since
ekgon	ekg on
elads	leads
eleavation	elevation
electical	electrical
electri	electric
eleevation	elevation
elev	elevation
elevartion	elevation
elevateion	elevation
elevatio	elevation
elevatiosn	elevation
elevatoin	elevation
elevaton	elevator
elevcation	elevation
elevtion	election
enalrgement	enlargement
enew	new
epression	expression
eraly	early
eroneous	erroneous
escapel	escape
escapew	escape
escapr	escape
escpae	escape
etopy	ectopy
evdent	evident
eveident	evident
evelation	elevation
eveloped	developed
evolutio	evolution
ewolevation	elevation
excluse	exclude
exclused	excluded
exclute	exclude
exict	exact
exlcude	exclude
exlcuded	excluded
extermitry	extremity
extopic	ectopic
extopy	ectopy
extraordanarily	extraordinarily
extraordinarilly	extraordinarily
extreminty	extremity
extremityh	extremity
exxclude	exclude
faililng	failing
falttening	fattening
fariable	variable
fascicula	fascicular
fasculoventricular	fasciculoventricular
fequent	frequent
fibr	fiber
fibrillaiton	fibrillation
fibrillaltion	fibrillation
fibrillarion	fibrillation
fibrillartion	fibrillation
fibrillatin	fibrillation
fibrillatino	fibrillation
fibrillatio	fibrillation
fibrillationhas	fibrillation has
fibrillationu	fibrillation
fibrillatoin	fibrillation
fibrillattioon	fibrillation
fibrilllation	fibrillation
fibrilltaion	fibrillation
fibrllation	fibrillation
fibrullation	fibrillation
findingsare	findings are
findingssince	findings since
finrillation	fibrillation
firillation	fibrillation
firsdt	first
flalter	flatter
flatening	flattening
flattented	flattened
flatterning	flattering
flatttening	flattening
fllutter	flutter
fluter	flutter
flutterwith	flutter with
followe	follow
forbiventricular	for biventricular
forcs	force
forlvh	for left ventricular hypertrophy
forst	first
fources	forces
freqent	frequent
frequet	frequent
froces	forces
furrther	further
geater	greater
greated	greater
greatrer	greater
gwith	with
haeart	heart
hemiblcok	hemiblock
hperkalemia	hyperkalemia
hubctional	functional
hyperecalcemia	hypercalcemia
hyperkalamia	hyperkalaemia
hyperterophic	hypertrophic
hypertophy	hypertrophy
hypertroophy	hypertrophy
hypertroph	hypertrophy
hypertrophys	hypertrophy
hypertropy	hypertrophy
